IATA,Airport name,Location served
AKN,King Salmon Airport,"King Salmon, Alaska, United States"
ALW,Walla Walla Regional Airport,"Walla Walla, Washington, United States"
ANC,Ted Stevens Anchorage International Airport,"Anchorage, Alaska, United States"
BET,Bethel Airport,"Bethel, Alaska, United States"
BFI,Boeing Field/King County International Airport,"Seattle, Washington, United States"
BLI,Bellingham International Airport,"Bellingham, Washington, United States"
BRW,Wiley Post–Will Rogers Memorial Airport,"Barrow, Alaska, United States"
CDV,Merle K. (Mudhole) Smith Airport,"Cordova, Alaska, United States"
DLG,Dillingham Airport,"Dillingham, Alaska, United States"
DUT,Unalaska Airport,"Unalaska, Alaska, United States"
EAT,Pangborn Memorial Airport,"Wenatchee, Washington, United States"
ENA,Kenai Municipal Airport,"Kenai, Alaska, United States"
ESD,Orcas Island Airport (FAA: ORS),"Eastsound, Washington, United States"
FAI,Fairbanks International Airport,"Fairbanks, Alaska, United States"
FRD,Friday Harbor Airport (FAA: FHR),"Friday Harbor, Washington, United States"
GAL,Edward G. Pitka Sr. Airport,"Galena, Alaska, United States"
GEG,Spokane International Airport,"Spokane, Washington, United States"
GST,Gustavus Airport,"Gustavus, Alaska, United States"
HOM,Homer Airport,"Homer, Alaska, United States"
JNU,Juneau International Airport,"Juneau, Alaska, United States"
KLW,Klawock Airport (FAA: AKW),"Klawock, Alaska, United States"
KSM,St. Mary's Airport,"St. Mary's, Alaska, United States"
KTN,Ketchikan International Airport,"Ketchikan, Alaska, United States"
OME,Nome Airport,"Nome, Alaska, United States"
OTZ,Ralph Wien Memorial Airport,"Kotzebue, Alaska, United States"
PSC,Tri-Cities Airport,"Pasco, Washington, United States"
PSG,Petersburg James A. Johnson Airport,"Petersburg, Alaska, United States"
PUW,Pullman–Moscow Regional Airport,"Pullman / Moscow (ID), Washington, United States"
SCC,Deadhorse Airport,"Prudhoe Bay / Deadhorse, Alaska, United States"
SEA,Seattle–Tacoma International Airport,"Seattle, Washington, United States"
SIT,Sitka Rocky Gutierrez Airport,"Sitka, Alaska, United States"
UNK,Unalakleet Airport,"Unalakleet, Alaska, United States"
VDZ,Valdez Airport (Pioneer Field),"Valdez, Alaska, United States"
WRG,Wrangell Airport,"Wrangell, Alaska, United States"
YAK,Yakutat Airport,"Yakutat, Alaska, United States"
YEG,Edmonton International Airport,"Edmonton, Alberta, Canada"
YKM,Yakima Air Terminal (McAllister Field),"Yakima, Washington, United States"
YVR,Vancouver International Airport,"Vancouver, British Columbia, Canada"
YWG,Winnipeg James Armstrong Richardson International Airport,"Winnipeg, Manitoba, Canada"
YXX,Abbotsford International Airport,"Abbotsford, British Columbia, Canada"
YYC,Calgary International Airport,"Calgary, Alberta, Canada"
ANU,V. C. Bird International Airport,"Antigua, Antigua and Barbuda"
AUA,Queen Beatrix International Airport,"Aruba, Kingdom of the Netherlands"
AXA,Clayton J. Lloyd International Airport,"The Valley, British Overseas Territory of Anguilla"
AZS,Samaná El Catey International Airport,"El Catey, Dominican Republic"
BEF,Bluefields Airport,"Bluefields, Nicaragua"
BGI,Grantley Adams International Airport,"Bridgetown, Barbados"
BJX,Del Bajío International Airport (Guanajuato Int'l Airport),"León, Guanajuato, Mexico"
BOC,"Bocas del Toro ""Isla Colón"" International Airport","Bocas Town, Panama"
BQN,Rafael Hernández Airport,"Aguadilla, Puerto Rico, United States"
BZE,Philip S. W. Goldson International Airport,"Belize City, Belize"
CAP,Hugo Chávez International Airport,"Cap-Haïtien, Haiti"
CCC,Jardines del Rey Airport,"Cayo Coco, Cuba"
CFG,Jaime González Airport,"Cienfuegos, Cuba"
CJS,Abraham González International Airport,"Ciudad Juárez, Chihuahua, Mexico"
CUL,Bachigualato Federal International Airport,"Culiacán, Sinaloa, Mexico"
CUN,Cancún International Airport,"Cancún, Quintana Roo, Mexico"
CUU,General Roberto Fierro Villalobos International Airport,"Chihuahua, Chihuahua, Mexico"
CYB,Charles Kirkconnell International Airport,"Cayman Brac, British Overseas Territory of Cayman Islands"
CYO,Vilo Acuña Airport,"Cayo Largo del Sur, Cuba"
DCF,Canefield Airport,"Canefield, Dominica"
DGA,Dangriga Airport,"Dangriga, Belize"
DOM,Douglas–Charles Airport,"St Andrew Parish, Dominica"
ECI,Costa Esmeralda Airport[1],"Rivas, Nicaragua"
EIS,Terrance B. Lettsome International Airport,"Tortola, British Overseas Territory of Virgin Islands"
FPO,Grand Bahama International Airport,"Freeport, Grand Bahama, Bahamas"
FRS,Mundo Maya International Airport,"Flores, Guatemala"
GCM,Owen Roberts International Airport,"Grand Cayman, British Overseas Territory of Cayman Islands"
GDL,Guadalajara International Airport (Miguel Hidalgo y Costilla Int'l),"Guadalajara, Jalisco, Mexico"
GDT,JAGS McCartney International Airport (Grand Turk Int'l),"Grand Turk Island, British Overseas Territory
 of Turks and Caicos Islands"
GGT,Exuma International Airport,"Moss Town, Great Exuma Island, Bahamas"
GND,Maurice Bishop International Airport,"St. George's, Grenada"
GUA,La Aurora International Airport,"Guatemala City, Guatemala"
HAV,José Martí International Airport,"Havana, Cuba"
HMO,General Ignacio Pesqueira García International Airport,"Hermosillo, Sonora, Mexico"
HOG,Frank País Airport,"Holguín, Cuba"
ILS,Ilopango International Airport,"San Salvador, El Salvador"
JBQ,La Isabela International Airport (Dr. Joaquin Balaguer Int'l),"La Isabela, Dominican Republic"
KIN,Norman Manley International Airport,"Kingston, Jamaica"
LAP,Manuel Márquez de León International Airport,"La Paz, Baja California Sur, Mexico"
LIR,Daniel Oduber Quirós International Airport,"Liberia, Costa Rica"
LRM,La Romana International Airport (Casa de Campo International Airport),"La Romana, Dominican Republic"
MBJ,Sangster International Airport,"Montego Bay, Jamaica"
MEX,Mexico City International Airport,"Mexico City, Mexico"
MGA,Augusto C. Sandino International Airport,"Managua, Nicaragua"
MHH,Marsh Harbour Airport,"Marsh Harbour, Abaco Islands, Bahamas"
MID,Manuel Crescencio Rejón International Airport,"Mérida, Yucatán, Mexico"
MLM,General Francisco J. Mujica International Airport,"Morelia, Michoacán, Mexico"
MNI,John A. Osborne Airport,British Overseas Territory of Montserrat
MTY,General Mariano Escobedo International Airport,"Monterrey, Nuevo León, Mexico"
MXL,General Rodolfo Sánchez Taboada International Airport,"Mexicali, Baja California, Mexico"
MZO,Sierra Maestra Airport,"Manzanillo, Cuba"
MZT,General Rafael Buelna International Airport,"Mazatlán, Sinaloa, Mexico"
NAS,Lynden Pindling International Airport,"Nassau, New Providence, Bahamas"
NCR,San Carlos Airport[1],"San Carlos, Nicaragua"
NEV,Vance W. Amory International Airport,"Nevis, Saint Kitts and Nevis"
OAX,Xoxocotlán International Airport,"Oaxaca de Juárez, Oaxaca, Mexico"
OCJ,Ian Fleming International Airport,"Ocho Rios, Jamaica"
PAP,Toussaint L'Ouverture International Airport,"Port-au-Prince, Haiti"
PBR,Puerto Barrios Airport[1],"Puerto Barrios, Guatemala"
PLJ,Placencia Airport,"Placencia, Belize"
PLS,Providenciales International Airport,"Providenciales, British Overseas Territory
 of Turks and Caicos Islands"
PND,Punta Gorda Airport[1],"Punta Gorda, Belize"
POP,Gregorio Luperón International Airport,"San Felipe de Puerto Plata, Dominican Republic"
POS,Piarco International Airport,"Port of Spain, Trinidad and Tobago"
PSE,Mercedita Airport,"Ponce, Puerto Rico"
PTP,Pointe-à-Pitre International Airport (Le Raizet Airport),"Pointe-à-Pitre, Guadeloupe"
PTY,Tocumen International Airport,"Panama City, Panama"
PUJ,Punta Cana International Airport,"Punta Cana, Dominican Republic"
PUZ,Puerto Cabezas Airport,"Puerto Cabezas, Nicaragua"
PVR,Licenciado Gustavo Díaz Ordaz International Airport,"Puerto Vallarta, Jalisco, Mexico"
QRO,Querétaro Intercontinental Airport,"Querétaro City, Querétaro, Mexico"
RNI,Corn Island Airport,"Corn Islands, Nicaragua"
RTB,Juan Manuel Gálvez International Airport,"Roatán, Honduras"
SAL,Monseñor Óscar Arnulfo Romero International Airport,"San Salvador, El Salvador"
SAP,Ramón Villeda Morales International Airport,"San Pedro Sula, Honduras"
SCU,Antonio Maceo International Airport,"Santiago de Cuba, Cuba"
SDQ,Las Américas International Airport,"Santo Domingo, Dominican Republic"
SJD,Los Cabos International Airport,"San José del Cabo, Baja California Sur, Mexico"
SJO,Juan Santamaría International Airport,"San José, Costa Rica"
SJU,Luis Muñoz Marín International Airport,"San Juan, Puerto Rico"
SKB,Robert L. Bradshaw International Airport,"Saint Kitts, Saint Kitts and Nevis"
SLX,Salt Cay Airport[1],"Salt Cay, British Overseas Territory of Turks and Caicos Islands"
SNU,Abel Santamaría Airport,"Santa Clara, Cuba"
SPR,John Greif II Airport,"San Pedro Town, Belize"
STI,Cibao International Airport,"Santiago de los Caballeros, Dominican Republic"
STT,Cyril E. King Airport,"St. Thomas Island, United States Virgin Islands"
STX,Henry E. Rohlsen Airport,"Saint Croix, United States Virgin Islands"
SVD,Argyle International Airport,"Saint Vincent, Saint Vincent and the Grenadines"
SXM,Princess Juliana International Airport,"Sint Maarten, Kingdom of the Netherlands"
TAB,Arthur Napoleon Raymond Robinson International Airport,"Tobago, Trinidad and Tobago"
TGU,Toncontín International Airport,"Tegucigalpa, Honduras"
TGZ,Ángel Albino Corzo International Airport,"Tuxtla Gutiérrez, Chiapas, Mexico"
TIJ,Tijuana International Airport,"Tijuana, Baja California, Mexico"
UVF,Hewanorra International Airport,"Vieux Fort, Saint Lucia"
VER,General Heriberto Jara International Airport,"Veracruz, Veracruz, Mexico"
VIJ,Virgin Gorda Airport,"Virgin Gorda, British Overseas Territory of Virgin Islands"
VRA,Juan Gualberto Gómez Airport,"Varadero, Cuba"
VSA,Carlos Rovirosa Pérez International Airport,"Villahermosa, Tabasco, Mexico"
VTU,Hermanos Ameijeiras Airport[1],"Las Tunas, Cuba"
XSC,South Caicos Airport,"South Caicos, British Overseas Territory of Turks and Caicos Islands"
ADZ,Gustavo Rojas Pinilla International Airport,"San Andres Island, Colombia"
AQP,Rodríguez Ballón International Airport,"Arequipa, Peru"
BAQ,Ernesto Cortissoz International Airport,"Barranquilla, Colombia"
BLA,General José Antonio Anzoátegui International Airport,"Barcelona, Venezuela"
BOG,El Dorado International Airport,"Bogotá, Colombia"
BRM,Jacinto Lara International Airport,"Barquisimeto, Venezuela"
CAY,Cayenne – Félix Eboué Airport,"Cayenne, French Guiana"
CCS,Simón Bolívar International Airport,"Caracas, Venezuela"
CIX,FAP Captain José Abelardo Quiñones González International Airport,"Chiclayo, Peru"
CLO,Alfonso Bonilla Aragón International Airport,"Cali, Colombia"
CTG,Rafael Núñez International Airport,"Cartagena, Colombia"
CUE,Mariscal Lamar International Airport,"Cuenca, Ecuador"
CUZ,Alejandro Velasco Astete International Airport,"Cusco, Peru"
EOH,Olaya Herrera Airport,"Medellín, Colombia"
GEO,Cheddi Jagan International Airport,"Georgetown, Guyana"
GPS,Seymour Airport,"Baltra Island, Galápagos Islands, Ecuador"
GYE,José Joaquín de Olmedo International Airport,"Guayaquil, Ecuador"
IQT,Coronel FAP Francisco Secada Vignetta International Airport,"Iquitos, Peru"
JUL,Inca Manco Cápac International Airport,"Juliaca, Peru"
LDX,Saint-Laurent-du-Maroni Airport,"Saint-Laurent-du-Maroni, French Guiana"
LIM,Jorge Chávez International Airport,"Lima, Peru"
LSP,Josefa Camejo International Airport,"Punto Fijo, Venezuela"
MAR,La Chinita International Airport,"Maracaibo, Venezuela"
MDE,José María Córdova International Airport,"Medellín, Colombia"
MPY,Maripasoula Airport,"Maripasoula, French Guiana"
MUN,José Tadeo Monagas International Airport,"Maturín, Venezuela"
OGL,Ogle Airport,"Georgetown, Guyana"
PBM,Johan Adolf Pengel International Airport,"Paramaribo, Suriname"
PCL,FAP Captain David Abensur Rengifo International Airport,"Pucallpa, Peru"
PEM,Padre Aldamiz International Airport,"Puerto Maldonado, Peru"
PIU,FAP Captain Guillermo Concha Iberico International Airport,"Piura, Peru"
PMV,Santiago Mariño Caribbean International Airport,"Porlamar, Venezuela"
PZO,Manuel Carlos Piar Guayana Airport,"Ciudad Guayana / Puerto Ordaz, Venezuela"
SCY,San Cristóbal Airport,"San Cristóbal Island, Galápagos Islands, Ecuador"
SMR,Simón Bolívar International Airport,"Santa Marta, Colombia"
STD,Mayor Buenaventura Vivas Airport,"Santo Domingo, Táchira, Venezuela"
TCQ,Coronel FAP Carlos Ciriani Santa Rosa International Airport[1],"Tacna, Peru"
TPP,Cad. FAP Guillermo del Castillo Paredes Airport[1],"Tarapoto, Peru"
TRU,FAP Captain Carlos Martínez de Pinillos International Airport,"Trujillo, Peru"
UIO,Mariscal Sucre International Airport,"Quito, Ecuador"
VLN,Arturo Michelena International Airport,"Valencia, Venezuela"
XAU,Saül Airport,"Saül, French Guiana"
BEL,Val de Cans International Airport,"Belém, Pará, Brazil"
BSB,Brasília International Airport (Presidente J. Kubitschek Int'l Airport),"Brasília, Distrito Federal, Brazil"
CGH,São Paulo/Congonhas–Deputado Freitas Nobre Airport,"São Paulo, São Paulo, Brazil"
CNF,Tancredo Neves International Airport (Confins Int'l Airport),"Belo Horizonte, Minas Gerais, Brazil"
CWB,Afonso Pena International Airport,"Curitiba, Paraná, Brazil"
FLN,Hercílio Luz International Airport,"Florianópolis, Santa Catarina, Brazil"
FOR,Pinto Martins – Fortaleza International Airport,"Fortaleza, Ceará, Brazil"
GIG,Rio de Janeiro–Galeão International Airport,"Rio de Janeiro, Brazil"
GRU,São Paulo/Guarulhos–Governador André Franco Montoro International Airport,"São Paulo, Brazil"
IGU,Foz do Iguaçu International Airport,"Foz do Iguaçu, Paraná, Brazil"
MAO,Eduardo Gomes International Airport,"Manaus, Amazonas, Brazil"
POA,Salgado Filho International Airport,"Porto Alegre, Rio Grande do Sul, Brazil"
REC,Recife/Guararapes–Gilberto Freyre International Airport,"Recife, Pernambuco, Brazil"
SDU,Santos Dumont Airport,"Rio de Janeiro, Rio de Janeiro, Brazil"
SSA,Deputado Luís Eduardo Magalhães International Airport,"Salvador, Bahia, Brazil"
VCP,Viracopos/Campinas International Airport,"São Paulo / Campinas, São Paulo, Brazil"
VIX,Eurico de Aguiar Salles Airport,"Vitória, Espírito Santo, Brazil"
AEP,Jorge Newbery Airpark,"Buenos Aires, Argentina"
AGT,Guaraní International Airport,"Ciudad del Este, Paraguay"
ANF,Cerro Moreno International Airport,"Antofagasta, Chile"
ARI,Chacalluta International Airport,"Arica, Chile"
ASU,Silvio Pettirossi International Airport,"Asunción, Paraguay"
BRC,San Carlos de Bariloche Airport,"San Carlos de Bariloche, Río Negro, Argentina"
CBB,Jorge Wilstermann International Airport,"Cochabamba, Bolivia"
CCP,Carriel Sur International Airport,"Concepción, Chile"
CJC,El Loa Airport,"Calama, Chile"
COR,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport (Pajas Blancas),"Córdoba, Córdoba, Argentina"
CRD,General Enrique Mosconi International Airport,"Comodoro Rivadavia, Chubut, Argentina"
EPA,El Palomar Airport[1],"El Palomar, Buenos Aires, Argentina"
EZE,Ministro Pistarini International Airport,"Buenos Aires, Argentina"
FTE,Comandante Armando Tola International Airport,"El Calafate, Santa Cruz, Argentina"
IGR,Cataratas del Iguazú International Airport,"Puerto Iguazú, Misiones, Argentina"
IPC,Mataveri International Airport (Isla de Pascua Airport),"Easter Island, Chile"
IQQ,Diego Aracena International Airport,"Iquique, Chile"
LPB,El Alto International Airport,"La Paz, Bolivia"
LSC,La Florida Airport,"La Serena, Chile"
MDZ,Gov. Francisco Gabrielli International Airport (El Plumerillo),"Mendoza, Mendoza, Argentina"
MVD,Carrasco Gral. Cesáreo L. Berisso International Airport,"Montevideo, Uruguay"
NQN,Presidente Perón International Airport,"Neuquén, Neuquén, Argentina"
PDP,Capitán de Corbeta Carlos A. Curbelo International Airport,"Punta del Este, Uruguay"
PMC,El Tepual Airport,"Puerto Montt, Chile"
PUQ,Presidente Carlos Ibáñez del Campo International Airport,"Punta Arenas, Chile"
ROS,Rosario – Islas Malvinas International Airport,"Rosario, Santa Fe, Argentina"
SCL,Comodoro Arturo Merino Benítez International Airport,"Santiago, Chile"
SLA,Martín Miguel de Güemes International Airport,"Salta, Salta, Argentina"
TUC,Teniente General Benjamín Matienzo International Airport,"San Miguel de Tucumán, Tucumán, Argentina"
USH,Ushuaia – Malvinas Argentinas International Airport,"Ushuaia, Tierra del Fuego, Argentina"
VVI,Viru Viru International Airport,"Santa Cruz de la Sierra, Bolivia"
ZCO,La Araucanía Airport,"Temuco, Chile"
AAL,Aalborg Airport,"Aalborg, Denmark"
AAR,Aarhus Airport,"Aarhus, Denmark"
ABZ,Aberdeen Airport,"Aberdeen, Scotland, United Kingdom"
AES,"Ålesund Airport, Vigra","Ålesund, Norway"
AEY,Akureyri Airport,"Akureyri, Iceland"
ARN,Stockholm Arlanda Airport,"Stockholm, Sweden"
BGO,"Bergen Airport, Flesland","Bergen, Norway"
BHD,George Best Belfast City Airport,"Belfast, Northern Ireland, United Kingdom"
BHX,Birmingham Airport,"Birmingham, England, United Kingdom"
BIU,Bíldudalur Airport,"Bíldudalur, Iceland"
BLL,Billund Airport,"Billund, Denmark"
BMA,Stockholm Bromma Airport,"Stockholm, Sweden"
BRS,Bristol Airport,"Bristol, England, United Kingdom"
CFN,Donegal Airport,"Donegal, Ireland"
CPH,"Copenhagen Airport, Kastrup","Copenhagen, Denmark"
CWL,Cardiff Airport,"Cardiff, Wales, United Kingdom"
DUB,Dublin Airport,"Dublin, Ireland"
EDI,Edinburgh Airport,"Edinburgh, Scotland, United Kingdom"
EGS,Egilsstaðir Airport,"Egilsstaðir, Iceland"
EMA,East Midlands Airport,"Nottingham / Leicester / Derby, England, United Kingdom"
EVE,"Harstad/Narvik Airport, Evenes","Harstad / Narvik, Norway"
GJR,Gjögur Airport,"Gjögur, Iceland"
GLA,Glasgow Airport,"Glasgow, Scotland, United Kingdom"
GOT,Göteborg Landvetter Airport,"Gothenburg, Sweden"
GRY,Grímsey Airport,"Grímsey, Iceland"
HAU,"Haugesund Airport, Karmøy","Haugesund, Norway"
HEL,Helsinki Airport (Helsinki-Vantaa Airport),"Helsinki, Finland"
HFN,Hornafjörður Airport,"Höfn, Iceland"
HZK,Húsavík Airport,"Húsavík, Iceland"
IFJ,Ísafjörður Airport,"Ísafjörður, Iceland"
IOM,Isle of Man Airport (Ronaldsway Airport),"Isle of Man, United Kingdom"
IVL,Ivalo Airport,"Ivalo, Finland"
JER,Jersey Airport,"Jersey, Channel Islands, United Kingdom"
KEF,Keflavík International Airport,"Reykjavík, Iceland"
KIR,Kerry Airport (Farranfore Airport),"Kerry, Ireland"
KOK,Kokkola-Pietarsaari Airport,"Kokkola / Jakobstad, Finland"
KRS,"Kristiansand Airport, Kjevik","Kristiansand, Norway"
LBA,Leeds Bradford Airport,"Leeds / Bradford, England, United Kingdom"
LCY,London City Airport,"London, England, United Kingdom"
LGW,Gatwick Airport,"London, England, United Kingdom"
LHR,Heathrow Airport,"London, England, United Kingdom"
LLA,Luleå Airport (Kallax Airport),"Luleå, Sweden"
LPL,Liverpool John Lennon Airport,"Liverpool, England, United Kingdom"
LTN,Luton Airport,"London, England, United Kingdom"
MAN,Manchester Airport,"Manchester, England, United Kingdom"
MMK,Murmansk Airport,"Murmansk, Murmansk Oblast, Russia"
MMX,Malmö Airport,"Malmö, Sweden"
MOL,"Molde Airport, Årø","Molde, Norway"
NCL,Newcastle Airport,"Newcastle upon Tyne, England, United Kingdom"
NOC,Ireland West Airport Knock,"Knock, Ireland"
NYO,Stockholm Skavsta Airport,"Stockholm / Nyköping, Sweden"
ORK,Cork Airport,"Cork, Ireland"
OSL,"Oslo Airport, Gardermoen","Oslo, Norway"
OUL,Oulu Airport,"Oulu, Finland"
RKV,Reykjavík Airport,"Reykjavík, Iceland"
RVN,Rovaniemi Airport,"Rovaniemi, Finland"
SEN,London Southend Airport,"London / Southend, England, United Kingdom"
SNN,Shannon Airport,"Shannon, Ireland"
SOU,Southampton Airport,"Southampton, England, United Kingdom"
STN,London Stansted Airport,"London, England, United Kingdom"
SVG,"Stavanger Airport, Sola","Stavanger, Norway"
TAY,Tartu Airport,"Tartu, Estonia"
THO,Thorshofn Airport,"Thorshofn (Þórshöfn), Iceland"
TKU,Turku Airport,"Turku, Finland"
TLL,Tallinn Airport (Lennart Meri Tallinn Airport),"Tallinn, Estonia"
TMP,Tampere–Pirkkala Airport,"Tampere, Finland"
TOS,"Tromsø Airport, Langnes","Tromsø, Norway"
TRD,"Trondheim Airport, Værnes","Trondheim, Norway"
TRF,"Sandefjord Airport, Torp","Sandefjord / Oslo, Norway"
UME,Umeå Airport,"Umeå, Sweden"
VAA,Vaasa Airport,"Vaasa, Finland"
VEY,Vestmannaeyjar Airport,"Vestmannaeyjar, Iceland"
VPN,Vopnafjörður Airport,"Vopnafjörður, Iceland"
VXO,Växjö/Kronoberg Airport,"Växjö, Sweden"
UBN,Chinggis Khaan International Airport,"Ulaanbaatar, Mongolia"
SAI,Siem Reap–Angkor International Airport,"Siem Reap, Cambodia"